Sex,Length,Diameter,Height,Whole,Shucked,Viscera,Shell,Rings,Maturity_Level,Random_Index,Biological_Variation
M,0.46,0.345,0.12,0.4935,0.2435,0.1175,0.132,8,mature,78,0.81898
M,0.46,0.345,0.11,0.4595,0.235,0.0885,0.116,7,mature,27,-0.30011
M,0.465,0.36,0.11,0.4955,0.2665,0.085,0.121,7,mature,76,0.86624
I,0.465,0.355,0.09,0.4325,0.2005,0.074,0.1275,9,mature,40,0.7382
F,0.475,0.38,0.14,0.689,0.3165,0.1315,0.1955,7,mature,43,0.56036
I,0.48,0.35,0.135,0.5465,0.2735,0.0995,0.158,8,mature,98,0.06716
M,0.485,0.39,0.135,0.617,0.25,0.1345,0.1635,8,mature,85,-0.98857
I,0.49,0.37,0.11,0.538,0.271,0.1035,0.139,8,mature,3,-0.36262
M,0.5,0.39,0.135,0.7815,0.361,0.1575,0.2385,9,mature,72,-0.85573
F,0.5,0.38,0.14,0.6355,0.277,0.143,0.1785,8,mature,32,0.71328
M,0.505,0.385,0.13,0.6435,0.3135,0.149,0.1515,7,mature,37,0.17063
M,0.52282,0.385,0.13925,0.82543,0.246,0.1005,0.1455,8,mature,74,0.67222
M,0.535,0.42,0.125,0.738,0.355,0.1895,0.1795,8,mature,2,0.78938
F,0.535,0.42,0.13,0.699,0.3125,0.1565,0.2035,8,mature,39,-1.28683
F,0.54,0.385,0.14,0.7655,0.3265,0.116,0.2365,10,mature,98,-0.5058
F,0.54,0.42,0.13,0.7505,0.368,0.1675,0.1845,9,mature,77,-0.00285
F,0.545,0.43,0.16,0.844,0.3945,0.1855,0.231,9,mature,80,0.83213
M,0.55,0.41,0.13,0.8705,0.4455,0.2115,0.213,9,mature,74,0.63716
I,0.55,0.42,0.115,0.668,0.2925,0.137,0.209,11,aged,74,-0.14433
F,0.565,0.44,0.135,0.83,0.393,0.1735,0.238,9,mature,88,-0.22229
M,0.58,0.45,0.12,0.8685,0.418,0.1475,0.2605,8,mature,77,0.62438
F,0.58,0.435,0.15,0.839,0.3485,0.207,0.192,7,mature,91,-0.15801
F,0.585,0.485,0.15,1.079,0.4145,0.2115,0.356,11,aged,11,-2.1884
M,0.595,0.465,0.15,0.919,0.4335,0.1765,0.262,9,mature,61,-1.16353
F,0.6,0.47,0.19,1.1345,0.492,0.2595,0.3375,10,mature,26,-0.46746
F,0.61,0.43,0.14,0.909,0.438,0.2,0.22,8,mature,87,-0.58108
M,0.61,0.48,0.165,1.2435,0.5575,0.2675,0.372,8,mature,7,0.67689
F,0.62,0.49,0.16,1.056,0.493,0.244,0.2725,9,mature,18,-0.19497
M,0.645,0.495,0.15,1.2095,0.603,0.2225,0.339,9,mature,1,-2.69478
M,0.65,0.5,0.14,1.238,0.6165,0.2355,0.32,8,mature,90,0.18558
F,0.665,0.525,0.21,1.644,0.818,0.3395,0.4275,10,mature,83,0.37354
M,0.685,0.55,0.2,1.7725,0.813,0.387,0.49,11,aged,90,-0.32176
F,0.69,0.54,0.195,1.2525,0.73,0.3975,0.462,12,aged,25,1.50422
F,0.705,0.57,0.185,1.761,0.747,0.3725,0.488,10,mature,52,-0.51868
F,0.71,0.5,0.15,1.3165,0.6835,0.2815,0.28,10,mature,94,1.56998
M,0.72,0.585,0.22,1.914,0.9155,0.448,0.479,11,aged,80,-0.60184
F,0.73,0.555,0.18,1.6895,0.6555,0.1965,0.4935,10,mature,11,0.71333
F,0.505,0.39,0.115,0.66,0.3045,0.1555,0.175,8,mature,31,0.77854
M,0.53,0.425,0.13,0.7455,0.2995,0.1355,0.245,10,mature,63,-0.61446
F,0.52282,0.385,0.13925,0.82543,0.243,0.1075,0.21,11,aged,72,-0.24697
I,0.405,0.305,0.09,0.2825,0.114,0.0575,0.095,7,mature,91,0.44908
M,0.415,0.3,0.1,0.3355,0.1545,0.0685,0.095,7,mature,11,1.73807
M,0.5,0.39,0.145,0.651,0.273,0.132,0.22,11,aged,87,1.76272
M,0.425,0.33,0.08,0.361,0.134,0.0825,0.125,7,mature,98,2.20879
M,0.47,0.35,0.1,0.4775,0.1885,0.0885,0.175,8,mature,70,-1.21095
F,0.4,0.31,0.115,0.3465,0.1475,0.0695,0.115,10,mature,5,-0.23038
I,0.37,0.29,0.1,0.25,0.1025,0.0505,0.085,10,mature,2,0.67461
I,0.41,0.31,0.11,0.315,0.124,0.082,0.095,9,mature,75,0.43551
M,0.375,0.29,0.1,0.276,0.1175,0.0565,0.085,9,mature,34,0.24571
F,0.49,0.385,0.125,0.5395,0.2175,0.128,0.165,11,aged,70,0.73708
M,0.585,0.48,0.185,1.04,0.434,0.265,0.285,10,mature,47,0.47871
M,0.595,0.455,0.155,1.041,0.416,0.2105,0.365,14,aged,20,-0.92479
F,0.675,0.55,0.18,1.6885,0.562,0.3705,0.6,15,aged,70,1.02033
M,0.62,0.49,0.17,1.2105,0.5185,0.2555,0.335,13,aged,75,-1.30491
I,0.325,0.25,0.055,0.166,0.076,0.051,0.045,5,mature,2,0.07897
I,0.52282,0.355,0.13925,0.82543,0.2165,0.0995,0.125,9,mature,57,1.54971
M,0.525,0.405,0.13,0.7185,0.3265,0.1975,0.175,8,mature,32,0.88152
I,0.385,0.29,0.09,0.232,0.0855,0.0495,0.08,7,mature,42,-0.62656
I,0.31,0.225,0.05,0.1445,0.0675,0.0385,0.045,6,mature,28,1.16601
F,0.375,0.29,0.08,0.282,0.1405,0.0725,0.08,7,mature,73,0.39509
F,0.48,0.38,0.12,0.608,0.2705,0.1405,0.185,8,mature,74,0.50757
I,0.455,0.37,0.125,0.433,0.201,0.1265,0.145,9,mature,11,0.15696
M,0.425,0.325,0.1,0.3295,0.1365,0.0725,0.11,7,mature,82,0.76587
I,0.475,0.36,0.11,0.4555,0.177,0.0965,0.145,9,mature,49,0.69319
F,0.435,0.35,0.12,0.4585,0.192,0.1,0.13,11,aged,69,-1.18962
F,0.29,0.21,0.075,0.275,0.113,0.0675,0.035,6,mature,62,0.47802
M,0.385,0.295,0.095,0.335,0.147,0.094,0.09,7,mature,67,-0.66033
M,0.47,0.375,0.115,0.4265,0.1685,0.0755,0.15,8,mature,20,0.65914
F,0.5,0.4,0.125,0.5765,0.2395,0.126,0.185,10,mature,32,-0.65472
I,0.4,0.31,0.1,0.127,0.106,0.071,0.085,7,mature,42,0.467
M,0.62,0.51,0.175,1.1505,0.4375,0.2265,0.4,12,aged,19,-0.56254
M,0.595,0.47,0.15,0.8915,0.359,0.2105,0.245,12,aged,20,-0.36302
M,0.585,0.455,0.14,0.97,0.462,0.185,0.295,9,mature,57,-0.11253
M,0.32,0.24,0.08,0.18,0.08,0.0385,0.055,6,mature,84,1.75551
F,0.52,0.41,0.125,0.6985,0.2945,0.1625,0.215,10,mature,31,-0.88233
F,0.44,0.33,0.115,0.4005,0.143,0.113,0.12,8,mature,62,-0.09246
M,0.565,0.425,0.1,0.7145,0.3055,0.166,0.18,12,aged,76,1.19829
F,0.56,0.425,0.125,0.932,0.361,0.213,0.335,9,mature,23,0.75836
F,0.59,0.455,0.175,0.966,0.391,0.2455,0.31,10,mature,15,-1.86246
M,0.68,0.53,0.205,1.496,0.5825,0.337,0.465,14,aged,68,1.43304
F,0.45,0.36,0.125,0.5065,0.222,0.105,0.16,10,mature,27,0.98668
I,0.32,0.24,0.075,0.1735,0.076,0.0355,0.05,7,mature,74,1.12763
I,0.46,0.35,0.11,0.3945,0.1685,0.0865,0.125,9,mature,31,0.19885
M,0.47,0.37,0.105,0.4665,0.2025,0.1015,0.155,10,mature,9,-0.6751
M,0.455,0.35,0.105,0.401,0.1575,0.083,0.135,9,mature,98,0.40467
F,0.415,0.325,0.115,0.3455,0.1405,0.0765,0.11,9,mature,48,1.47749
M,0.465,0.35,0.12,0.5205,0.2015,0.1625,0.185,11,aged,15,-0.22093
M,0.46,0.375,0.135,0.4935,0.186,0.0845,0.17,12,aged,19,-0.2383
M,0.415,0.31,0.09,0.3245,0.1305,0.0735,0.115,8,mature,13,0.30718
M,0.27,0.195,0.07,0.106,0.0465,0.018,0.036,7,mature,11,-0.54192
M,0.445,0.355,0.11,0.4415,0.1805,0.1035,0.1505,10,mature,99,-0.8944
F,0.4,0.3,0.115,0.3025,0.1335,0.0465,0.0935,8,mature,45,-0.48089
I,0.28,0.2,0.075,0.1225,0.0545,0.0115,0.035,5,mature,31,-0.69003
M,0.55,0.44,0.135,0.879,0.368,0.2095,0.265,10,mature,98,-0.73584
M,0.61,0.5,0.165,1.2715,0.4915,0.185,0.49,12,aged,52,-0.17479
M,0.56,0.42,0.195,0.8085,0.3025,0.1795,0.285,14,aged,44,0.06906
F,0.64,0.51,0.2,1.3905,0.61,0.3315,0.41,12,aged,88,0.74897
F,0.71,0.565,0.195,1.817,0.785,0.492,0.49,11,aged,12,-0.09673
F,0.55,0.47,0.15,0.897,0.377,0.184,0.29,9,mature,70,0.37425
M,0.375,0.305,0.09,0.3245,0.1395,0.0565,0.095,5,mature,4,0.4486
F,0.61,0.45,0.16,1.136,0.414,0.311,0.3,9,mature,76,-0.11296
I,0.38,0.28,0.085,0.2735,0.115,0.061,0.085,6,mature,6,-2.25658
F,0.37,0.275,0.085,0.2405,0.104,0.0535,0.07,5,mature,89,-0.93154
M,0.335,0.235,0.085,0.1545,0.066,0.0345,0.045,6,mature,50,-1.12317
M,0.285,0.21,0.075,0.1185,0.055,0.0285,0.04,7,mature,36,-0.04502
M,0.595,0.465,0.125,0.799,0.3245,0.2,0.23,10,mature,24,1.33503
F,0.645,0.5,0.17,1.1845,0.4805,0.274,0.355,13,aged,9,0.58233
M,0.575,0.45,0.185,0.925,0.342,0.197,0.35,12,aged,48,-1.03548
F,0.58,0.45,0.235,1.071,0.3,0.206,0.395,14,aged,19,1.33676
F,0.52282,0.48,0.13925,0.82543,0.358,0.2035,0.34,15,aged,21,0.28498
M,0.55,0.43,0.16,0.9295,0.317,0.1735,0.355,13,aged,62,0.54069
M,0.495,0.4,0.155,0.8085,0.2345,0.1155,0.35,6,mature,9,-0.0973
I,0.32,0.235,0.08,0.1485,0.064,0.031,0.045,6,mature,89,-1.27776
M,0.445,0.34,0.12,0.4475,0.193,0.1035,0.13,9,mature,33,1.24454
F,0.52,0.4,0.125,0.6865,0.295,0.1715,0.185,9,mature,7,1.11338
M,0.495,0.385,0.135,0.6335,0.2,0.1225,0.26,14,aged,64,-1.28262
M,0.47,0.37,0.135,0.547,0.222,0.1325,0.17,12,aged,61,-1.57341
F,0.49,0.37,0.14,0.585,0.243,0.115,0.195,10,mature,40,-0.51742
M,0.58,0.47,0.165,0.927,0.3215,0.1985,0.315,11,aged,47,0.31264
M,0.645,0.495,0.185,1.4935,0.5265,0.2785,0.455,15,aged,53,1.01219
F,0.575,0.485,0.165,1.0405,0.419,0.264,0.3,14,aged,65,-0.43166
I,0.43,0.325,0.11,0.3675,0.1355,0.0935,0.12,13,aged,57,0.19389
I,0.26,0.215,0.08,0.099,0.037,0.0255,0.045,5,mature,90,-2.67493
I,0.37,0.28,0.09,0.233,0.0905,0.0545,0.07,11,aged,52,1.86997
I,0.405,0.305,0.105,0.3625,0.1565,0.0705,0.125,10,mature,16,0.73059
I,0.27,0.19,0.08,0.081,0.0265,0.0195,0.03,6,mature,89,-0.10685
F,0.65,0.515,0.195,1.4005,0.5195,0.36,0.44,13,aged,77,0.19146
M,0.42,0.345,0.105,0.43,0.175,0.096,0.13,7,mature,69,-0.86927
I,0.275,0.22,0.08,0.1365,0.0565,0.0285,0.042,6,mature,79,-0.1895
F,0.29,0.225,0.075,0.14,0.0515,0.0235,0.04,5,mature,58,0.53801
M,0.42,0.34,0.115,0.4215,0.175,0.093,0.135,8,mature,25,0.83643
F,0.595,0.495,0.235,1.366,0.5065,0.219,0.52,13,aged,16,0.15011
F,0.43,0.325,0.12,0.445,0.165,0.0995,0.155,8,mature,98,0.88025
F,0.455,0.35,0.14,0.5725,0.1965,0.1325,0.175,10,mature,81,-1.23593
I,0.33,0.26,0.08,0.19,0.0765,0.0385,0.065,7,mature,32,0.41837
F,0.515,0.415,0.13,0.764,0.276,0.196,0.25,13,aged,78,-0.4969
M,0.495,0.39,0.15,0.853,0.3285,0.189,0.27,14,aged,60,0.56633
F,0.485,0.375,0.145,0.5885,0.2385,0.1155,0.19,13,aged,52,1.05929
F,0.535,0.46,0.145,0.7875,0.3395,0.2005,0.2,8,mature,88,1.01029
F,0.625,0.525,0.195,1.352,0.4505,0.2445,0.53,13,aged,54,-1.05818
F,0.555,0.455,0.18,0.958,0.296,0.195,0.39,14,aged,97,-0.59911
F,0.55,0.425,0.145,0.797,0.297,0.15,0.265,9,mature,87,0.30065
M,0.59,0.475,0.155,0.857,0.356,0.174,0.28,13,aged,53,-0.48411
I,0.355,0.28,0.11,0.2235,0.0815,0.0525,0.08,7,mature,4,-0.03997
I,0.275,0.2,0.075,0.086,0.0305,0.019,0.03,7,mature,82,2.49951
F,0.505,0.39,0.175,0.692,0.267,0.15,0.215,12,aged,15,-0.57483
M,0.37,0.28,0.095,0.2225,0.0805,0.051,0.075,7,mature,55,1.07682
M,0.555,0.43,0.165,0.7575,0.2735,0.1635,0.275,13,aged,93,-0.69232
F,0.505,0.4,0.165,0.729,0.2675,0.155,0.25,9,mature,55,0.42666
F,0.56,0.445,0.18,0.903,0.3575,0.2045,0.295,9,mature,6,-0.03027
F,0.57,0.45,0.165,0.903,0.3305,0.1845,0.295,14,aged,37,-0.27787
M,0.6,0.48,0.175,1.229,0.4125,0.2735,0.415,13,aged,73,0.756
F,0.56,0.435,0.185,1.106,0.422,0.2435,0.33,15,aged,89,-0.0501
I,0.46,0.335,0.11,0.444,0.225,0.0745,0.11,8,mature,47,1.12028
F,0.46,0.36,0.115,0.4755,0.2105,0.105,0.16,8,mature,47,0.57974
M,0.415,0.315,0.125,0.388,0.068,0.09,0.125,12,aged,33,1.22766
F,0.475,0.38,0.135,0.486,0.1735,0.07,0.185,7,mature,45,0.4117
M,0.465,0.36,0.13,0.5265,0.2105,0.1185,0.165,10,mature,26,-0.45629
M,0.46,0.375,0.14,0.5105,0.192,0.1045,0.205,9,mature,88,-0.1375
F,0.38,0.325,0.11,0.3105,0.12,0.074,0.105,10,mature,47,-0.56541
F,0.47,0.365,0.12,0.543,0.2295,0.1495,0.15,9,mature,95,0.262
M,0.36,0.27,0.09,0.2225,0.083,0.053,0.075,6,mature,39,-0.69264
F,0.585,0.455,0.165,0.998,0.345,0.2495,0.315,12,aged,15,1.02767
M,0.655,0.59,0.2,1.5455,0.654,0.3765,0.415,11,aged,41,0.65741
M,0.6,0.485,0.175,1.2675,0.4995,0.2815,0.38,13,aged,31,1.31664
F,0.57,0.46,0.17,1.1,0.4125,0.2205,0.38,14,aged,86,0.01758
F,0.645,0.5,0.2,1.4285,0.639,0.305,0.36,11,aged,92,2.26305
M,0.65,0.495,0.18,1.793,0.8005,0.339,0.53,14,aged,54,0.55933
M,0.51,0.395,0.145,0.6185,0.216,0.1385,0.24,12,aged,90,-0.8121
M,0.52,0.38,0.135,0.5825,0.2505,0.1565,0.175,8,mature,60,2.55335
M,0.495,0.415,0.165,0.7485,0.264,0.134,0.285,13,aged,82,-0.08742
M,0.52282,0.335,0.13925,0.82543,0.166,0.0935,0.135,8,mature,60,-1.23702
F,0.59,0.465,0.16,1.1005,0.506,0.2525,0.295,13,aged,70,0.33991
M,0.55,0.46,0.175,0.869,0.3155,0.1825,0.32,10,mature,39,-0.09629
M,0.585,0.43,0.16,0.955,0.3625,0.176,0.27,11,aged,97,-1.34473
F,0.62,0.51,0.15,1.456,0.581,0.2875,0.32,13,aged,71,1.71816
I,0.59,0.45,0.16,0.893,0.2745,0.2185,0.345,14,aged,30,0.7162
F,0.52282,0.51,0.13925,0.82543,0.5735,0.261,0.36,14,aged,61,-1.37198
F,0.61,0.48,0.175,1.0675,0.391,0.216,0.42,15,aged,28,0.59954
F,0.545,0.445,0.175,0.8525,0.3465,0.189,0.295,13,aged,52,-0.71754
M,0.57,0.45,0.16,0.8615,0.3725,0.2175,0.255,12,aged,90,-1.19055
F,0.52,0.41,0.17,0.8705,0.3735,0.219,0.25,14,aged,27,0.84944
M,0.635,0.51,0.21,1.598,0.6535,0.2835,0.58,15,aged,95,0.05756
F,0.67,0.52,0.15,1.406,0.519,0.348,0.37,13,aged,99,0.29568
M,0.51,0.405,0.13,0.7175,0.3725,0.158,0.17,9,mature,87,0.48929
M,0.525,0.405,0.135,0.7575,0.3305,0.216,0.195,10,mature,75,0.18786
M,0.44,0.375,0.13,0.487,0.226,0.0965,0.155,9,mature,38,-0.10046
I,0.485,0.415,0.14,0.5705,0.25,0.134,0.185,8,mature,42,0.76937
F,0.495,0.385,0.13,0.6905,0.3125,0.179,0.175,10,mature,4,0.84029
I,0.52282,0.345,0.13925,0.82543,0.221,0.112,0.125,7,mature,41,-0.83585
I,0.405,0.315,0.105,0.347,0.1605,0.0785,0.1,9,mature,11,-0.08896
I,0.42,0.33,0.1,0.352,0.1635,0.089,0.1,9,mature,12,-1.41674
F,0.5,0.395,0.15,0.7145,0.3235,0.173,0.195,9,mature,66,0.24602
F,0.385,0.305,0.105,0.3315,0.1365,0.0745,0.1,7,mature,35,-0.60459
I,0.33,0.265,0.09,0.18,0.068,0.036,0.06,6,mature,75,0.31858
F,0.58,0.475,0.155,0.974,0.4305,0.23,0.285,10,mature,53,-0.99394
I,0.325,0.27,0.1,0.185,0.08,0.0435,0.065,6,mature,7,-0.47006
M,0.475,0.375,0.12,0.563,0.2525,0.1205,0.185,10,mature,83,-1.69581
F,0.38,0.3,0.09,0.3215,0.1545,0.075,0.095,9,mature,54,-0.55117
I,0.34,0.26,0.09,0.179,0.076,0.0525,0.055,6,mature,39,-0.35055
M,0.525,0.425,0.12,0.702,0.3335,0.1465,0.22,12,aged,23,-1.21137
F,0.52,0.415,0.145,0.8045,0.3325,0.1725,0.285,10,mature,97,-1.71788
F,0.535,0.45,0.135,0.8075,0.322,0.181,0.25,13,aged,33,0.53599
M,0.52282,0.36,0.13925,0.82543,0.2825,0.12,0.17,8,mature,24,0.42597
I,0.415,0.325,0.1,0.385,0.167,0.08,0.125,7,mature,36,0.16855
I,0.495,0.385,0.125,0.585,0.2755,0.1235,0.165,8,mature,20,0.54297
F,0.48,0.405,0.13,0.6375,0.277,0.1445,0.21,10,mature,65,0.28645
F,0.52,0.425,0.15,0.813,0.385,0.2015,0.23,10,mature,77,-0.70775
M,0.46,0.375,0.13,0.5735,0.2505,0.119,0.195,9,mature,9,1.20936
F,0.52282,0.455,0.13925,0.82543,0.399,0.257,0.265,11,aged,33,-0.64761
M,0.59,0.49,0.135,1.008,0.422,0.2245,0.285,11,aged,29,0.64416
F,0.65,0.5,0.165,1.1445,0.485,0.218,0.365,12,aged,35,0.22198
M,0.455,0.355,0.13,0.515,0.2,0.1275,0.175,11,aged,35,-1.57569
M,0.47,0.375,0.13,0.5795,0.2145,0.164,0.195,13,aged,99,0.35646
F,0.435,0.35,0.11,0.384,0.143,0.1005,0.125,13,aged,45,0.76224
M,0.35,0.265,0.11,0.2965,0.1365,0.063,0.085,7,mature,64,0.47573
I,0.315,0.24,0.07,0.137,0.0545,0.0315,0.04,8,mature,71,1.43965
F,0.58,0.475,0.135,0.925,0.391,0.165,0.275,14,aged,1,-0.2545
M,0.535,0.435,0.155,0.8915,0.3415,0.177,0.25,13,aged,68,0.9635
M,0.515,0.42,0.14,0.769,0.2505,0.154,0.29,13,aged,21,1.51832
F,0.505,0.385,0.135,0.6185,0.251,0.1175,0.2,12,aged,88,-0.3358
F,0.505,0.395,0.145,0.6515,0.2695,0.153,0.205,15,aged,16,0.41123
I,0.4,0.31,0.1,0.2875,0.1145,0.0635,0.095,10,mature,83,-1.91672
M,0.49,0.395,0.135,0.5545,0.213,0.0925,0.215,14,aged,64,0.79552
M,0.53,0.435,0.135,0.7365,0.3275,0.1315,0.22,12,aged,62,-0.99676
I,0.395,0.325,0.105,0.306,0.111,0.0735,0.095,8,mature,64,1.59462
F,0.52282,0.305,0.13925,0.82543,0.12,0.082,0.1,10,mature,39,-0.81389
M,0.43,0.345,0.115,0.3045,0.0925,0.055,0.12,11,aged,68,0.16357
M,0.475,0.395,0.135,0.592,0.2465,0.1645,0.2,13,aged,98,-2.14896
F,0.52282,0.425,0.13925,0.82543,0.3345,0.209,0.24,15,aged,24,0.16871
I,0.48,0.39,0.145,0.5825,0.2315,0.121,0.255,15,aged,52,0.31955
I,0.42,0.345,0.115,0.3435,0.1515,0.0795,0.115,9,mature,62,-2.20244
M,0.59,0.46,0.155,0.906,0.327,0.1485,0.335,15,aged,78,0.28623
F,0.515,0.42,0.135,0.6295,0.2815,0.127,0.215,9,mature,14,-0.75449
M,0.695,0.55,0.22,1.5515,0.566,0.3835,0.445,13,aged,21,2.29698
M,0.56,0.455,0.165,0.86,0.4015,0.1695,0.245,11,aged,42,-0.7799
F,0.59,0.47,0.17,0.9,0.355,0.1905,0.25,11,aged,22,1.14684
I,0.31,0.24,0.09,0.1455,0.0605,0.0315,0.045,7,mature,69,0.06239
I,0.255,0.185,0.07,0.075,0.028,0.018,0.025,6,mature,11,-0.49561
F,0.56,0.43,0.125,0.8025,0.313,0.1715,0.263,13,aged,50,0.17267
M,0.505,0.4,0.13,0.764,0.3035,0.189,0.2175,11,aged,52,-2.05627
F,0.45,0.36,0.105,0.4715,0.2035,0.0935,0.149,9,mature,61,0.56147
F,0.515,0.435,0.17,0.631,0.2765,0.111,0.216,12,aged,68,0.82467
M,0.52282,0.495,0.13925,0.82543,0.4825,0.242,0.31,11,aged,59,-0.29456
M,0.555,0.44,0.135,0.9025,0.3805,0.2105,0.28,13,aged,60,0.14232
M,0.575,0.47,0.15,1.1415,0.4515,0.204,0.4,13,aged,91,-0.45298
F,0.645,0.525,0.2,1.449,0.601,0.2565,0.505,13,aged,30,-0.42001
F,0.545,0.44,0.175,0.7745,0.2985,0.1875,0.265,11,aged,72,-0.69381
M,0.55,0.45,0.155,0.7895,0.343,0.159,0.25,12,aged,29,0.22109
F,0.6,0.47,0.2,1.031,0.392,0.2035,0.29,15,aged,69,0.74032
F,0.63,0.505,0.165,1.065,0.4595,0.216,0.315,12,aged,34,-1.36693
M,0.65,0.545,0.16,1.2425,0.487,0.296,0.48,15,aged,90,-0.8733
I,0.56,0.44,0.17,0.9445,0.3545,0.2175,0.3,12,aged,71,0.49956
I,0.42,0.325,0.115,0.354,0.1625,0.064,0.105,8,mature,40,0.17954
F,0.405,0.325,0.11,0.3575,0.145,0.0725,0.11,12,aged,97,-0.38351
F,0.5,0.405,0.15,0.5965,0.253,0.126,0.185,12,aged,67,1.18488
I,0.435,0.335,0.11,0.383,0.1555,0.0675,0.135,12,aged,85,-0.22938
M,0.34,0.275,0.09,0.2065,0.0725,0.043,0.07,10,mature,32,-0.73971
F,0.43,0.34,0.11,0.382,0.154,0.0955,0.109,8,mature,85,-0.56568
I,0.52282,0.41,0.13925,0.82543,0.2745,0.1415,0.1815,12,aged,51,-0.7707
I,0.415,0.325,0.115,0.3285,0.1405,0.051,0.106,12,aged,90,-1.54441
F,0.36,0.265,0.09,0.2165,0.096,0.037,0.0735,10,mature,27,-0.55548
I,0.525,0.43,0.15,0.7365,0.3225,0.161,0.215,11,aged,75,-0.34752
F,0.44,0.345,0.105,0.4285,0.165,0.083,0.132,11,aged,91,0.59849
F,0.45,0.345,0.115,0.496,0.1905,0.117,0.14,12,aged,47,1.04167
F,0.485,0.365,0.14,0.6195,0.2595,0.1445,0.177,14,aged,82,-0.24732
I,0.47,0.35,0.135,0.567,0.2315,0.1465,0.1525,11,aged,65,-0.91464
I,0.515,0.375,0.14,0.6505,0.2495,0.141,0.2215,10,mature,74,-1.05873
M,0.42,0.34,0.125,0.4495,0.165,0.1125,0.144,11,aged,5,0.4873
M,0.37,0.29,0.09,0.241,0.11,0.045,0.069,10,mature,80,0.47104
M,0.33,0.25,0.09,0.197,0.085,0.041,0.0605,10,mature,74,-2.5926
I,0.3,0.22,0.09,0.1425,0.057,0.0335,0.043,7,mature,31,0.3898
I,0.625,0.46,0.16,1.2395,0.55,0.273,0.38,14,aged,97,0.93619
I,0.61,0.475,0.17,1.0385,0.4435,0.241,0.32,14,aged,31,1.28718
I,0.625,0.465,0.155,0.972,0.404,0.1845,0.35,14,aged,20,-0.6294
I,0.5,0.385,0.155,0.762,0.3795,0.161,0.19,14,aged,35,-0.19838
I,0.445,0.33,0.1,0.437,0.163,0.0755,0.17,13,aged,73,1.24729
F,0.585,0.415,0.155,0.6985,0.3,0.146,0.195,12,aged,95,0.84474
M,0.29,0.225,0.08,0.1295,0.0535,0.026,0.045,10,mature,34,0.99818
I,0.555,0.455,0.17,0.8435,0.309,0.1905,0.3,15,aged,10,-1.43655
I,0.655,0.515,0.145,1.25,0.5265,0.283,0.315,15,aged,91,0.17579
F,0.58,0.46,0.185,1.017,0.3515,0.2,0.32,10,mature,45,1.71764
I,0.625,0.43,0.175,1.411,0.572,0.297,0.395,12,aged,80,-0.18925
I,0.62,0.485,0.17,1.208,0.4805,0.3045,0.33,15,aged,51,-0.42339
F,0.64,0.5,0.15,1.0705,0.371,0.2705,0.36,8,mature,93,-0.83943
F,0.505,0.375,0.115,0.5895,0.2635,0.12,0.167,10,mature,65,0.58991
I,0.5,0.395,0.12,0.537,0.2165,0.1085,0.1785,9,mature,61,-0.33442
M,0.31,0.245,0.095,0.15,0.0525,0.034,0.048,7,mature,79,0.46323
F,0.505,0.38,0.145,0.651,0.2935,0.19,0.17,12,aged,5,1.35107
I,0.42,0.305,0.11,0.28,0.094,0.0785,0.0955,9,mature,80,0.49517
M,0.4,0.315,0.105,0.287,0.1135,0.037,0.113,10,mature,82,2.05777
M,0.31,0.235,0.06,0.12,0.0415,0.033,0.04,11,aged,84,-0.54328
F,0.465,0.36,0.12,0.4765,0.192,0.1125,0.16,10,mature,93,0.00702
M,0.35,0.255,0.085,0.2145,0.1,0.0465,0.06,13,aged,38,0.34345
I,0.52,0.415,0.16,0.595,0.2105,0.142,0.26,15,aged,34,0.10624
F,0.475,0.365,0.13,0.4805,0.1905,0.114,0.1475,12,aged,73,-0.268
F,0.41,0.315,0.11,0.321,0.1255,0.0655,0.095,10,mature,84,-0.90995
M,0.26,0.2,0.065,0.096,0.044,0.027,0.03,6,mature,90,0.02037
I,0.575,0.45,0.17,0.9315,0.358,0.2145,0.26,13,aged,46,-0.23896
I,0.565,0.435,0.155,0.782,0.2715,0.168,0.285,14,aged,22,1.2069
M,0.26,0.19,0.075,0.0945,0.0445,0.02,0.03,6,mature,32,0.76823
F,0.53,0.385,0.125,0.6695,0.289,0.151,0.18,10,mature,60,-0.0125
M,0.34,0.255,0.095,0.213,0.081,0.034,0.07,9,mature,78,0.10725
I,0.52282,0.38,0.13925,0.82543,0.1775,0.115,0.185,11,aged,75,-0.27756
F,0.61,0.485,0.165,1.087,0.4255,0.232,0.38,11,aged,6,0.4438
F,0.465,0.38,0.135,0.579,0.208,0.1095,0.22,14,aged,48,-0.11096
I,0.335,0.24,0.095,0.17,0.062,0.039,0.055,9,mature,39,1.53494
F,0.345,0.255,0.1,0.197,0.071,0.051,0.06,9,mature,3,-0.69131
M,0.465,0.355,0.125,0.5255,0.2025,0.135,0.145,13,aged,38,0.52004
M,0.52282,0.415,0.13925,0.82543,0.339,0.208,0.255,10,mature,33,0.68353
M,0.475,0.355,0.125,0.4625,0.186,0.107,0.145,9,mature,76,0.95391
F,0.445,0.335,0.14,0.4565,0.1785,0.114,0.14,11,aged,97,-0.50003
M,0.5,0.355,0.14,0.528,0.2125,0.149,0.14,9,mature,19,0.71428
M,0.5,0.38,0.135,0.5835,0.2295,0.1265,0.18,12,aged,56,-1.03734
